Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
1,3,40464,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,40471
85,515,40418,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,40420
86,515,40418,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,40420
107,678,40235,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,40235
127,807,40505,Medium,45,196.85,0.01,Regular Air,-166.85,4.28,6.18,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4,40506
128,807,40505,Medium,32,124.56,0.04,Regular Air,-14.33,3.95,2,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,40506
213,1412,40249,Not Specified,13,59.03,0.1,Express Air,26.92,3.69,0.5,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.38,40251
214,1412,40249,Not Specified,21,97.48,0.05,Regular Air,-5.77,4.71,0.7,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,40251
250,1761,40535,High,25,12028.23,0.01,Delivery Truck,-547.61,449.99,49,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,40537
256,1792,40490,Low,28,370.48,0.04,Regular Air,-5.45,13.48,4.51,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,40495
381,2631,40444,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack Garza,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,40446
440,2976,40521,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22,500.98,26,Edward Hooks,Nunavut,Nunavut,Consumer,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Jumbo Drum,0.6,40523
577,3908,40245,Medium,8,820.284,0,Regular Air,-180.202,115.99,2.5,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,6160,Small Box,0.57,40245
656,4612,40440,Medium,9,89.55,0.06,Regular Air,-375.64,4.48,49,Jim Radford,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box,0.6,40442
769,5506,40489,Critical,22,129.62,0.05,Regular Air,4.41,5.88,3.04,Beth Thompson,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.36,40490
782,5569,40297,Not Specified,12,118.97,0.09,Regular Air,-0.06,9.65,6.22,Frank Price,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,40299
956,6916,40333,Low,40,436.17,0.08,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-Files™,Small Box,0.59,40337
963,6980,40227,Not Specified,18,136.29,0.05,Regular Air,-77.28,7.3,7.72,Ralph Knight,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,40228
1017,7430,40337,Medium,50,751.77,0.05,Regular Air,353.2,15.67,1.39,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,40338
1457,10499,40498,Not Specified,29,6250.936,0.01,Delivery Truck,31.21,262.11,62.74,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75,40499
1495,10789,40413,Not Specified,15,308.54,0,Express Air,76.42,19.84,4.1,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,40414
1589,11456,40280,Low,15,1519.9,0.09,Regular Air,399.37,105.34,24.49,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.61,40287
1590,11460,40414,High,30,102.24,0.09,Regular Air,37.79,3.69,0.5,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Labels,Avery 487,Small Box,0.38,40416
1654,11911,40492,Critical,25,397.84,0,Regular Air,-14.7545,15.22,9.73,Edward Hooks,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Binders and Binder Accessories,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Small Box,0.36,40494
1655,11941,40353,Critical,4,73.07,0.08,Regular Air,-41.01,15.7,11.25,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,40354
1656,11941,40353,Critical,26,4679.1,0.05,Delivery Truck,111.52,179.29,29.21,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",Jumbo Box,0.74,40354
1745,12485,40397,Critical,24,5407.31,0.04,Delivery Truck,1068.48,226.67,28.16,Eugene Barchas,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon GuestStacker Chair,Jumbo Drum,0.59,40398
1770,12704,40218,Low,44,21506.77,0.06,Regular Air,1260.51,499.99,24.49,Carlos Soltero,Northwest Territories,Northwest Territories,Small Business,Technology,Copiers and Fax,Sharp AL-1530CS Digital Copier,Large Box,0.36,40218
1771,12704,40218,Low,28,669.02,0.02,Delivery Truck,-1274.02,20.98,53.03,Carlos Soltero,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,0.78,40220
1806,12929,40420,Critical,19,5297.47,0.02,Delivery Truck,-158.93,270.98,50,Jim Radford,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jumbo Drum,0.77,40421
1807,12929,40420,Critical,20,95.3,0,Regular Air,29.68,4.48,1.22,Jim Radford,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Paper,Spiral Phone Message Books with Labels by Adams,Wrap Bag,0.36,40421
2070,14819,40203,Not Specified,48,9062.73,0.09,Regular Air,3122.78,207.48,0.99,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Small Box,0.55,40205
2071,14819,40203,Not Specified,27,1584.1,0.07,Delivery Truck,-478.22,58.14,36.61,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Jumbo Box,0.61,40204
2294,16545,40307,Not Specified,10,50.97,0.09,Regular Air,4.45,5.16,0.73,Carlos Soltero,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Pens & Art Supplies,Colorific® Watercolor Pencils,Wrap Bag,0.56,40309
2295,16545,40307,Not Specified,1,4.99,0.04,Regular Air,-3.06,3.68,1.32,Carlos Soltero,Northwest Territories,Northwest Territories,Small Business,Office Supplies,"Scissors, Rulers and Trimmers","*Staples* vLetter Openers, 2/Pack",Wrap Bag,0.83,40309
2323,16741,40451,Medium,6,157.97,0.01,Regular Air,-42.38,22.84,16.87,Nicole Hansen,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Xerox 1982,Small Box,0.39,40452
2346,16932,40283,Critical,25,144.84,0.09,Regular Air,-120.99,5.78,8.09,Carlos Soltero,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 1924,Small Box,0.36,40284
2347,16932,40283,Critical,20,127.16,0.09,Regular Air,12.88,6.7,1.56,Carlos Soltero,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Pens & Art Supplies,Turquoise Lead Holder with Pocket Clip,Wrap Bag,0.52,40283
2384,17286,40442,High,7,1810.67,0.09,Delivery Truck,-541.87,270.98,50,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Small Business,Furniture,Chairs & Chairmats,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jumbo Drum,0.77,40443
2402,17409,40407,Not Specified,31,633.56,0.09,Regular Air,-158.87,20.97,6.5,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Small Business,Technology,Computer Peripherals,Microsoft Internet Keyboard,Small Box,0.78,40409
2615,18887,40517,Not Specified,9,173.417,0,Regular Air,18.234,20.99,0.99,Clay Rozendal,Northwest Territories,Northwest Territories,Corporate,Technology,Telephones and Communication,Accessory21,Wrap Bag,0.37,40519
2727,19686,40405,Medium,2,42.31,0.06,Regular Air,-53.0787,17.98,8.51,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,Technology,Office Machines,Canon P1-DHIII Palm Printing Calculator,Medium Box,0.4,40405
